# id|modelPath|fallbackSize|fallbackColor|metadata(optional: type=...;origin=...;render=...;collisionProfile=...;cameraBlocks=...;requiresClosedMesh=...;maxHeight=...;tags=a,b)
# Art-direction pivot 2026-05: target is stylized mid-poly (early PS3/late PS2 readability with modelled detail, beveled/chamfered edges, material identity). Hero assets should move toward .gltf with authored geometry. Simple props keep .obj.
developer_sign|models/developer_sign.obj|1,1,1|235,92,72|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,developer
shop_sign_zenona|models/unit_box.obj|1,1,1|232,211,69|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,shop,sign,midpoly_target
shop_window|models/unit_box.obj|1,1,1|103,145,156,118|type=Glass;origin=bottom_center;render=Glass;collision=None;cameraBlocks=false;tags=glass,facade,midpoly_target
shop_door|models/unit_box.obj|1,1,1|75,57,43|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,shop,entrance,midpoly_target
shop_awning|models/unit_box.obj|1,1,1|155,46,42|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,shop,midpoly_target
security_camera|models/unit_box.obj|1,1,1|230,226,190|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,shop,midpoly_target
block_window_strip|models/unit_box.obj|1,1,1|91,124,137,112|type=Glass;origin=bottom_center;render=Glass;collision=None;cameraBlocks=false;tags=glass,facade,midpoly_target
balcony_stack|models/balcony_stack.obj|1,1,1|198,202,190|type=SolidProp;usage=active;origin=bottom_center;render=Opaque;collision=None;allowOpenEdges=false;tags=facade,midpoly_target
block_entrance|models/unit_box.obj|1,1,1|44,47,50|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,block,entrance,midpoly_target
satellite_dish|models/unit_box.obj|1,1,1|226,224,207|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,block,midpoly_target
garage_door_segment|models/unit_box.obj|1,1,1|70,82,86|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,garage,midpoly_target
garage_number_plate|models/unit_box.obj|1,1,1|238,211,79|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,garage,midpoly_target
parking_line|models/flat_decal.obj|1,1,1|238,231,150|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.02;tags=decal,parking_paint
bollard_red|models/unit_box.obj|1,1,1|225,71,55|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,parking,midpoly_target
trash_bin_green|models/unit_box.obj|1,1,1|58,121,76|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,trash,midpoly_target
trash_bin_blue|models/unit_box.obj|1,1,1|57,99,143|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,trash,midpoly_target
cardboard_stack|models/unit_box.obj|1,1,1|159,121,73|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,trash,breakable,midpoly_target
graffiti_panel|models/unit_box.obj|1,1,1|208,77,117|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,shop,wall_dressing,midpoly_target
sidewalk_slab|models/unit_box.obj|1,1,1|132,137,130|type=SolidProp;origin=bottom_center;render=Opaque;collision=Ground;cameraBlocks=false;tags=surface,sidewalk,midpoly_target
road_arrow|models/flat_decal.obj|1,1,1|238,211,79|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.02;tags=decal,route_guidance
crosswalk_stripe|models/flat_decal.obj|1,1,1|236,234,209|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.02;tags=decal,road_paint
curb_segment|models/unit_box.obj|1,1,1|112,116,108|type=SolidProp;origin=bottom_center;render=Opaque;collision=Ground;cameraBlocks=false;tags=surface,curb,midpoly_target
curb_lowpoly|models/curb_lowpoly.obj|1,1,1|112,116,108|type=SolidProp;origin=bottom_center;render=Opaque;collision=Ground;cameraBlocks=false;tags=surface,curb,midpoly_target
fence_panel|models/unit_box.obj|1,1,1|78,92,76|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,fence,midpoly_target
lamp_post|models/unit_box.obj|1,1,1|58,61,58|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,lighting,midpoly_target
lamp_post_lowpoly|models/lamp_post_lowpoly.obj|1,1,1|58,61,58|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,lighting,midpoly_target
street_sign|models/unit_box.obj|1,1,1|224,224,198|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,sign,midpoly_target
route_arrow_head|models/route_arrow_head.obj|1,1,1|194,169,74|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.02;tags=decal,route_guidance
wall_stain|models/unit_box.obj|1,1,1|88,92,84|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,weathering,wall_dressing,midpoly_target
shop_poster|models/unit_box.obj|1,1,1|225,74,126|type=SolidProp;origin=bottom_center;render=Opaque;collision=None;cameraBlocks=false;tags=prop,shop,wall_dressing,midpoly_target
parking_stop|models/unit_box.obj|1,1,1|105,105,98|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,parking,midpoly_target
planter_concrete|models/unit_box.obj|1,1,1|116,120,111|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,greenery,midpoly_target
asphalt_patch|models/flat_decal.obj|1,1,1|68,70,66,128|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.02;tags=decal,ground_patch
grass_wear_patch|models/flat_decal.obj|1,1,1|82,105,73,118|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.02;tags=decal,ground_patch
dirt_patch|models/flat_decal.obj|1,1,1|104,88,67,126|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.02;tags=decal,ground_patch
oil_stain|models/flat_decal.obj|1,1,1|45,46,43,112|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.02;tags=decal,ground_patch
trash_bin_lowpoly|models/trash_bin_lowpoly.obj|1,1,1|58,121,76|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,trash,dynamic,midpoly_target
irregular_asphalt_patch|models/irregular_patch.obj|1,1,1|68,70,66,128|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.05;tags=decal,ground_patch
irregular_grass_patch|models/irregular_patch.obj|1,1,1|82,105,73,118|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.05;tags=decal,ground_patch
irregular_dirt_patch|models/irregular_patch.obj|1,1,1|104,88,67,126|type=Decal;origin=bottom_center;render=Decal;collision=None;cameraBlocks=false;maxHeight=0.05;tags=decal,ground_patch
vehicle_gruz_e36|models/gruz_e36.gltf|1.92,1.32,3.56|176,54,45|type=VehicleRender;origin=bottom_center;render=Vehicle;collision=VehicleDynamic;tags=vehicle,hero,midpoly_target
pavilion_row_3|models/unit_box.obj|14,3.5,4|148,142,134|type=SolidBuilding;origin=bottom_center;render=Opaque;collisionProfile=SolidWorld;cameraBlocks=true;requiresClosedMesh=true;allowOpenEdges=false;tags=building,pavilion,hero_asset,midpoly_target
kiosk_ruchu|models/unit_box.obj|2,2.2,1.5|72,76,70|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,pavilion,midpoly_target
bus_stop_shelter|models/unit_box.obj|3,2.5,1.8|103,145,156,118|type=Glass;origin=bottom_center;render=Glass;collision=None;cameraBlocks=false;allowOpenEdges=true;tags=glass,pavilion,midpoly_target
trzepak|models/trzepak.obj|4.5,1.28,0.06|58,56,52|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,playground,midpoly_target
swing_set|models/swing_set.obj|2.1,2.2,1.2|72,68,58|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,playground,midpoly_target
slide_small|models/slide_small.obj|0.8,1.19,2.25|215,82,48|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,playground,midpoly_target
basketball_hoop|models/basketball_hoop.obj|1.1,3.0,0.5|62,60,56|type=SolidProp;origin=bottom_center;render=Opaque;collision=Prop;cameraBlocks=false;tags=prop,playground,midpoly_target
